,JAHR,MONAT,WERT,date,diff
283,2000,200011,71.0,2000-11-01,-14.0
282,2000,200010,83.0,2000-10-01,12.0
281,2000,200009,84.0,2000-09-01,1.0
280,2000,200008,77.0,2000-08-01,-7.0
279,2000,200007,99.0,2000-07-01,22.0
278,2000,200006,57.0,2000-06-01,-42.0
277,2000,200005,96.0,2000-05-01,39.0
276,2000,200004,78.0,2000-04-01,-18.0
275,2000,200003,73.0,2000-03-01,-5.0
274,2000,200002,53.0,2000-02-01,-20.0
273,2000,200001,78.0,2000-01-01,25.0
271,2001,200112,66.0,2001-12-01,-12.0
270,2001,200111,68.0,2001-11-01,2.0
269,2001,200110,77.0,2001-10-01,9.0
268,2001,200109,107.0,2001-09-01,30.0
267,2001,200108,60.0,2001-08-01,-47.0
266,2001,200107,71.0,2001-07-01,11.0
265,2001,200106,68.0,2001-06-01,-3.0
264,2001,200105,85.0,2001-05-01,17.0
263,2001,200104,68.0,2001-04-01,-17.0
262,2001,200103,63.0,2001-03-01,-5.0
261,2001,200102,49.0,2001-02-01,-14.0
260,2001,200101,66.0,2001-01-01,17.0
258,2002,200212,63.0,2002-12-01,-3.0
257,2002,200211,44.0,2002-11-01,-19.0
256,2002,200210,83.0,2002-10-01,39.0
255,2002,200209,107.0,2002-09-01,24.0
254,2002,200208,71.0,2002-08-01,-36.0
253,2002,200207,84.0,2002-07-01,13.0
252,2002,200206,74.0,2002-06-01,-10.0
251,2002,200205,58.0,2002-05-01,-16.0
250,2002,200204,65.0,2002-04-01,7.0
249,2002,200203,61.0,2002-03-01,-4.0
248,2002,200202,49.0,2002-02-01,-12.0
247,2002,200201,44.0,2002-01-01,-5.0
245,2003,200312,58.0,2003-12-01,14.0
244,2003,200311,44.0,2003-11-01,-14.0
243,2003,200310,74.0,2003-10-01,30.0
242,2003,200309,63.0,2003-09-01,-11.0
241,2003,200308,66.0,2003-08-01,3.0
240,2003,200307,76.0,2003-07-01,10.0
239,2003,200306,82.0,2003-06-01,6.0
238,2003,200305,65.0,2003-05-01,-17.0
237,2003,200304,50.0,2003-04-01,-15.0
236,2003,200303,53.0,2003-03-01,3.0
235,2003,200302,44.0,2003-02-01,-9.0
234,2003,200301,55.0,2003-01-01,11.0
232,2004,200412,52.0,2004-12-01,-3.0
231,2004,200411,51.0,2004-11-01,-1.0
230,2004,200410,68.0,2004-10-01,17.0
229,2004,200409,79.0,2004-09-01,11.0
228,2004,200408,58.0,2004-08-01,-21.0
227,2004,200407,67.0,2004-07-01,9.0
226,2004,200406,58.0,2004-06-01,-9.0
225,2004,200405,55.0,2004-05-01,-3.0
224,2004,200404,37.0,2004-04-01,-18.0
223,2004,200403,44.0,2004-03-01,7.0
222,2004,200402,48.0,2004-02-01,4.0
221,2004,200401,42.0,2004-01-01,-6.0
219,2005,200512,41.0,2005-12-01,-1.0
218,2005,200511,42.0,2005-11-01,1.0
217,2005,200510,57.0,2005-10-01,15.0
216,2005,200509,76.0,2005-09-01,19.0
215,2005,200508,48.0,2005-08-01,-28.0
214,2005,200507,63.0,2005-07-01,15.0
213,2005,200506,57.0,2005-06-01,-6.0
212,2005,200505,48.0,2005-05-01,-9.0
211,2005,200504,40.0,2005-04-01,-8.0
210,2005,200503,40.0,2005-03-01,0.0
209,2005,200502,40.0,2005-02-01,0.0
208,2005,200501,48.0,2005-01-01,8.0
206,2006,200612,52.0,2006-12-01,4.0
205,2006,200611,48.0,2006-11-01,-4.0
204,2006,200610,45.0,2006-10-01,-3.0
203,2006,200609,64.0,2006-09-01,19.0
202,2006,200608,48.0,2006-08-01,-16.0
201,2006,200607,64.0,2006-07-01,16.0
200,2006,200606,51.0,2006-06-01,-13.0
199,2006,200605,53.0,2006-05-01,2.0
198,2006,200604,40.0,2006-04-01,-13.0
197,2006,200603,40.0,2006-03-01,0.0
196,2006,200602,50.0,2006-02-01,10.0
195,2006,200601,44.0,2006-01-01,-6.0
193,2007,200712,37.0,2007-12-01,-7.0
192,2007,200711,36.0,2007-11-01,-1.0
191,2007,200710,55.0,2007-10-01,19.0
190,2007,200709,54.0,2007-09-01,-1.0
189,2007,200708,44.0,2007-08-01,-10.0
188,2007,200707,65.0,2007-07-01,21.0
187,2007,200706,51.0,2007-06-01,-14.0
186,2007,200705,63.0,2007-05-01,12.0
185,2007,200704,49.0,2007-04-01,-14.0
184,2007,200703,38.0,2007-03-01,-11.0
183,2007,200702,32.0,2007-02-01,-6.0
182,2007,200701,36.0,2007-01-01,4.0
180,2008,200812,35.0,2008-12-01,-1.0
179,2008,200811,27.0,2008-11-01,-8.0
178,2008,200810,45.0,2008-10-01,18.0
177,2008,200809,49.0,2008-09-01,4.0
176,2008,200808,44.0,2008-08-01,-5.0
175,2008,200807,52.0,2008-07-01,8.0
174,2008,200806,56.0,2008-06-01,4.0
173,2008,200805,57.0,2008-05-01,1.0
172,2008,200804,25.0,2008-04-01,-32.0
171,2008,200803,30.0,2008-03-01,5.0
170,2008,200802,30.0,2008-02-01,0.0
169,2008,200801,32.0,2008-01-01,2.0
167,2009,200912,34.0,2009-12-01,2.0
166,2009,200911,31.0,2009-11-01,-3.0
165,2009,200910,35.0,2009-10-01,4.0
164,2009,200909,49.0,2009-09-01,14.0
163,2009,200908,35.0,2009-08-01,-14.0
162,2009,200907,44.0,2009-07-01,9.0
161,2009,200906,31.0,2009-06-01,-13.0
160,2009,200905,57.0,2009-05-01,26.0
159,2009,200904,45.0,2009-04-01,-12.0
158,2009,200903,14.0,2009-03-01,-31.0
157,2009,200902,32.0,2009-02-01,18.0
156,2009,200901,23.0,2009-01-01,-9.0
154,2010,201012,26.0,2010-12-01,3.0
153,2010,201011,28.0,2010-11-01,2.0
152,2010,201010,27.0,2010-10-01,-1.0
151,2010,201009,54.0,2010-09-01,27.0
150,2010,201008,40.0,2010-08-01,-14.0
149,2010,201007,48.0,2010-07-01,8.0
148,2010,201006,39.0,2010-06-01,-9.0
147,2010,201005,34.0,2010-05-01,-5.0
146,2010,201004,33.0,2010-04-01,-1.0
145,2010,201003,31.0,2010-03-01,-2.0
144,2010,201002,23.0,2010-02-01,-8.0
143,2010,201001,19.0,2010-01-01,-4.0
141,2011,201112,37.0,2011-12-01,18.0
140,2011,201111,40.0,2011-11-01,3.0
139,2011,201110,26.0,2011-10-01,-14.0
138,2011,201109,36.0,2011-09-01,10.0
137,2011,201108,34.0,2011-08-01,-2.0
136,2011,201107,39.0,2011-07-01,5.0
135,2011,201106,27.0,2011-06-01,-12.0
134,2011,201105,43.0,2011-05-01,16.0
133,2011,201104,43.0,2011-04-01,0.0
132,2011,201103,22.0,2011-03-01,-21.0
131,2011,201102,25.0,2011-02-01,3.0
130,2011,201101,25.0,2011-01-01,0.0
128,2012,201212,27.0,2012-12-01,2.0
127,2012,201211,30.0,2012-11-01,3.0
126,2012,201210,32.0,2012-10-01,2.0
125,2012,201209,49.0,2012-09-01,17.0
124,2012,201208,55.0,2012-08-01,6.0
123,2012,201207,56.0,2012-07-01,1.0
122,2012,201206,43.0,2012-06-01,-13.0
121,2012,201205,54.0,2012-05-01,11.0
120,2012,201204,34.0,2012-04-01,-20.0
119,2012,201203,21.0,2012-03-01,-13.0
118,2012,201202,18.0,2012-02-01,-3.0
117,2012,201201,21.0,2012-01-01,3.0
115,2013,201312,32.0,2013-12-01,11.0
114,2013,201311,35.0,2013-11-01,3.0
113,2013,201310,31.0,2013-10-01,-4.0
112,2013,201309,47.0,2013-09-01,16.0
111,2013,201308,39.0,2013-08-01,-8.0
110,2013,201307,42.0,2013-07-01,3.0
109,2013,201306,37.0,2013-06-01,-5.0
108,2013,201305,33.0,2013-05-01,-4.0
107,2013,201304,28.0,2013-04-01,-5.0
106,2013,201303,21.0,2013-03-01,-7.0
105,2013,201302,15.0,2013-02-01,-6.0
104,2013,201301,17.0,2013-01-01,2.0
102,2014,201412,25.0,2014-12-01,8.0
101,2014,201411,42.0,2014-11-01,17.0
100,2014,201410,36.0,2014-10-01,-6.0
99,2014,201409,43.0,2014-09-01,7.0
98,2014,201408,32.0,2014-08-01,-11.0
97,2014,201407,35.0,2014-07-01,3.0
96,2014,201406,31.0,2014-06-01,-4.0
95,2014,201405,28.0,2014-05-01,-3.0
94,2014,201404,35.0,2014-04-01,7.0
93,2014,201403,37.0,2014-03-01,2.0
92,2014,201402,17.0,2014-02-01,-20.0
91,2014,201401,21.0,2014-01-01,4.0
89,2015,201512,27.0,2015-12-01,6.0
88,2015,201511,30.0,2015-11-01,3.0
87,2015,201510,25.0,2015-10-01,-5.0
86,2015,201509,45.0,2015-09-01,20.0
85,2015,201508,49.0,2015-08-01,4.0
84,2015,201507,49.0,2015-07-01,0.0
83,2015,201506,39.0,2015-06-01,-10.0
82,2015,201505,50.0,2015-05-01,11.0
81,2015,201504,29.0,2015-04-01,-21.0
80,2015,201503,23.0,2015-03-01,-6.0
79,2015,201502,23.0,2015-02-01,0.0
78,2015,201501,22.0,2015-01-01,-1.0
76,2016,201612,20.0,2016-12-01,-2.0
75,2016,201611,20.0,2016-11-01,0.0
74,2016,201610,30.0,2016-10-01,10.0
73,2016,201609,29.0,2016-09-01,-1.0
72,2016,201608,34.0,2016-08-01,5.0
71,2016,201607,35.0,2016-07-01,1.0
70,2016,201606,30.0,2016-06-01,-5.0
69,2016,201605,25.0,2016-05-01,-5.0
68,2016,201604,27.0,2016-04-01,2.0
67,2016,201603,20.0,2016-03-01,-7.0
66,2016,201602,10.0,2016-02-01,-10.0
65,2016,201601,21.0,2016-01-01,11.0
63,2017,201712,42.0,2017-12-01,21.0
62,2017,201711,33.0,2017-11-01,-9.0
61,2017,201710,32.0,2017-10-01,-1.0
60,2017,201709,47.0,2017-09-01,15.0
59,2017,201708,30.0,2017-08-01,-17.0
58,2017,201707,52.0,2017-07-01,22.0
57,2017,201706,41.0,2017-06-01,-11.0
56,2017,201705,29.0,2017-05-01,-12.0
55,2017,201704,26.0,2017-04-01,-3.0
54,2017,201703,36.0,2017-03-01,10.0
53,2017,201702,22.0,2017-02-01,-14.0
52,2017,201701,19.0,2017-01-01,-3.0
50,2018,201812,21.0,2018-12-01,2.0
49,2018,201811,31.0,2018-11-01,10.0
48,2018,201810,43.0,2018-10-01,12.0
47,2018,201809,36.0,2018-09-01,-7.0
46,2018,201808,40.0,2018-08-01,4.0
45,2018,201807,51.0,2018-07-01,11.0
44,2018,201806,39.0,2018-06-01,-12.0
43,2018,201805,34.0,2018-05-01,-5.0
42,2018,201804,25.0,2018-04-01,-9.0
41,2018,201803,32.0,2018-03-01,7.0
40,2018,201802,24.0,2018-02-01,-8.0
39,2018,201801,22.0,2018-01-01,-2.0
37,2019,201912,35.0,2019-12-01,13.0
36,2019,201911,29.0,2019-11-01,-6.0
35,2019,201910,45.0,2019-10-01,16.0
34,2019,201909,47.0,2019-09-01,2.0
33,2019,201908,31.0,2019-08-01,-16.0
32,2019,201907,48.0,2019-07-01,17.0
31,2019,201906,40.0,2019-06-01,-8.0
30,2019,201905,39.0,2019-05-01,-1.0
29,2019,201904,36.0,2019-04-01,-3.0
28,2019,201903,34.0,2019-03-01,-2.0
27,2019,201902,28.0,2019-02-01,-6.0
26,2019,201901,22.0,2019-01-01,-6.0
24,2020,202012,13.0,2020-12-01,-9.0
23,2020,202011,23.0,2020-11-01,10.0
22,2020,202010,34.0,2020-10-01,11.0
21,2020,202009,46.0,2020-09-01,12.0
20,2020,202008,46.0,2020-08-01,0.0
19,2020,202007,58.0,2020-07-01,12.0
18,2020,202006,49.0,2020-06-01,-9.0
17,2020,202005,40.0,2020-05-01,-9.0
16,2020,202004,26.0,2020-04-01,-14.0
15,2020,202003,27.0,2020-03-01,1.0
14,2020,202002,40.0,2020-02-01,13.0
13,2020,202001,28.0,2020-01-01,-12.0
